TIME,STAGE,MEDIAN,MEAN_NN,MxDMn,MAXN,MINN,VARIA,ABSOLUTE_POWER_LF,ABSOLUTE_POWER_HF,TOTAl_POWER,KURT,SKEW,KURT_REL_RR,SKEW_REL_RR
05:45:01,W,505.8594,541.956,332.0312,761.7188,429.6875,10156.8068,1178.8898,1547.2947,3693.068,1.7053,0.4503,1.2832,-0.0032
05:45:31,W,539.0625,557.8567,347.6562,789.0625,441.4062,10323.611,3041.3911,1953.8767,5468.0565,1.7845,0.4356,1.25,0.0305
05:46:01,W,492.1875,548.0542,285.1562,718.75,433.5938,9805.6922,1408.9956,1638.1579,4309.4741,1.5571,0.4009,1.2196,0.0066
05:46:31,W,488.2812,554.2453,589.8438,898.4375,308.5938,16461.4467,2692.7132,2282.3105,6948.712,2.3622,0.5343,1.3883,0.0066
05:47:01,S1,480.4688,547.0961,296.875,734.375,437.5,10338.7884,2191.0969,1371.354,3882.8439,1.5212,0.3794,1.2071,0.0141
05:47:31,S1,521.4844,553.0349,320.3125,761.7188,441.4062,9811.0176,1615.1226,925.9722,3433.6693,1.8134,0.5099,1.2895,0.0625
05:48:01,W,544.9219,555.7392,355.4688,781.25,425.7812,11249.3165,2597.8772,1053.2072,4665.186,1.4979,0.2492,1.1465,0.0195
05:48:31,W,509.7656,540.6539,281.25,714.8438,433.5938,8331.0267,1605.206,969.468,3984.387,1.4573,0.3326,1.2501,0.0811
05:49:01,W,523.4375,553.066,328.125,753.9062,425.7812,10857.0222,1997.2772,1392.1902,4130.5025,1.6993,0.43,1.3415,0.0603
05:49:31,S1,500.0,552.2553,386.7188,808.5938,421.875,12792.7536,1754.8766,1408.4628,4161.7602,1.8351,0.5235,1.2521,0.0321
05:50:01,S1,507.8125,545.0324,285.1562,714.8438,429.6875,10393.5983,1196.2358,1888.5373,4149.9113,1.448,0.359,1.2358,0.0354
05:50:31,S2,500.0,558.9694,371.0938,800.7812,429.6875,12985.9687,1651.7678,2209.0754,4965.335,1.8671,0.5239,1.2854,0.0436
05:51:01,S2,511.7188,544.2708,292.9688,714.8438,421.875,9520.9192,1238.0183,1084.9201,3060.1864,1.5476,0.3532,1.1696,-0.0272
05:51:31,S2,531.25,568.1679,703.125,1062.5,359.375,22587.3842,1578.5202,3472.7627,5936.4034,3.6283,0.8569,2.0878,0.1587
05:52:01,S1,500.0,524.2746,976.5625,1281.25,304.6875,27589.3698,3497.4149,15339.9316,22938.1583,9.5749,2.0553,2.3192,0.0471
05:52:31,S1,589.8438,623.5871,808.5938,1136.7188,328.125,37460.2788,3874.3852,15428.6947,24027.2626,3.0154,0.5747,2.6593,0.3348
05:53:01,S1,849.6094,824.2188,636.7188,1000.0,363.2812,18160.6517,4038.1864,3526.0587,11929.1417,6.1113,-1.5611,11.4471,0.4068
05:53:31,S1,955.0781,959.375,476.5625,1210.9375,734.375,13246.2565,3702.9764,1551.2139,7478.2416,2.9065,-0.2132,2.5491,-0.1054
05:54:01,W,1017.5781,1005.7199,410.1562,1164.0625,753.9062,11565.5977,1585.6664,1147.8302,6144.258,3.0243,-0.8022,2.131,-0.0575
05:54:31,W,1013.6719,1017.5781,1015.625,1320.3125,304.6875,39754.0501,6304.1676,3238.0621,15977.55,6.5272,-1.5176,11.9943,-2.5997
05:55:01,S1,667.9688,703.6966,886.7188,1187.5,300.7812,77838.1057,1140.2379,16192.0392,42550.078,1.6544,0.2168,5.3181,-0.7255
05:55:31,S1,431.6406,526.0882,828.125,1132.8125,304.6875,32132.8883,4544.9942,11087.4805,20304.57,3.8685,1.0969,1.5696,0.0676
05:56:01,S1,406.25,520.5966,441.4062,785.1562,343.75,24570.2318,1801.8224,1177.3614,5580.9401,1.2345,0.1774,1.0625,0.0109
05:56:31,S1,550.7812,497.7489,656.25,992.1875,335.9375,19906.8766,626.8273,3762.1821,7846.0579,3.4218,0.7234,1.1744,0.1088
05:57:01,S1,539.0625,531.9602,664.0625,1015.625,351.5625,24779.769,1834.6767,4994.8471,10632.4286,2.5593,0.537,1.1097,0.0255
05:57:31,S1,419.9219,479.2318,832.0312,1132.8125,300.7812,28201.0354,8553.9271,9391.6065,22696.214,6.6098,1.7928,2.2763,-0.0219
05:58:01,S1,562.5,515.5565,609.375,945.3125,335.9375,22884.1634,1631.9462,2699.6577,10929.8106,2.0863,0.3885,1.0982,0.0693
05:58:31,S1,414.0625,506.716,371.0938,714.8438,343.75,21246.5276,1070.9623,898.9019,4222.221,1.1493,0.1201,1.0414,0.0152
05:59:01,S4,546.875,497.9476,472.6562,792.9688,320.3125,18044.3487,3072.4242,696.4283,6553.505,1.577,0.2517,1.0882,0.0232
